Issue-ID,Beschreibung,Status,Schweregrad,Story Points,Projektpfad,Art des Speicherorts,Pfad,Linie,Spalte,Incident-ID,Hilfelink,Assemblyname,Assemblyversion,Öffentlicher Schlüssel für Assembly.,Ausschnitt
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,MortysDLP.csproj,File,obj\Debug\net9.0-windows7.0\Views\ConvertWindow.g.i.cs,168,12,E:System.Windows.Controls.Primitives.ButtonBase.Click,,,,,this.btnRemoveFiles.Click += new System.Windows.RoutedEventHandler(this.btnRemoveFiles_Click);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,MortysDLP.csproj,File,obj\Debug\net9.0-windows7.0\Views\ConvertWindow.g.i.cs,165,12,T:System.Windows.Controls.Button,,,,,this.btnRemoveFiles = ((System.Windows.Controls.Button)(target));
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,MortysDLP.csproj,File,obj\Debug\net9.0-windows7.0\Views\ConvertWindow.g.i.cs,159,12,T:System.Windows.RoutedEventHandler,,,,,((System.Windows.Controls.Button)(target)).Click += new System.Windows.RoutedEventHandler(this.btnAddFiles_Click);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,MortysDLP.csproj,File,obj\Debug\net9.0-windows7.0\Views\ConvertWindow.g.i.cs,159,12,T:System.Windows.RoutedEventHandler,,,,,((System.Windows.Controls.Button)(target)).Click += new System.Windows.RoutedEventHandler(this.btnAddFiles_Click);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,MortysDLP.csproj,File,obj\Debug\net9.0-windows7.0\Views\ConvertWindow.g.i.cs,159,12,E:System.Windows.Controls.Primitives.ButtonBase.Click,,,,,((System.Windows.Controls.Button)(target)).Click += new System.Windows.RoutedEventHandler(this.btnAddFiles_Click);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,MortysDLP.csproj,File,obj\Debug\net9.0-windows7.0\Views\ConvertWindow.g.i.cs,154,12,T:System.Windows.Controls.DataGrid,,,,,this.dgFiles = ((System.Windows.Controls.DataGrid)(target));
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,MortysDLP.csproj,File,obj\Debug\net9.0-windows7.0\Views\ConvertWindow.g.i.cs,138,12,T:System.Windows.Application,,,,,"System.Windows.Application.LoadComponent(this, resourceLocater);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,MortysDLP.csproj,File,obj\Debug\net9.0-windows7.0\Views\ConvertWindow.g.i.cs,138,12,"M:System.Windows.Application.LoadComponent(System.Object,System.Uri)",,,,,"System.Windows.Application.LoadComponent(this, resourceLocater);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,MortysDLP.csproj,File,obj\Debug\net9.0-windows7.0\Views\ConvertWindow.g.i.cs,135,12,T:System.Uri,,,,,"System.Uri resourceLocater = new System.Uri(""/MortysDLP;component/views/convertwindow.xaml"", System.UriKind.Relative);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,MortysDLP.csproj,File,obj\Debug\net9.0-windows7.0\Views\ConvertWindow.g.i.cs,135,12,"M:System.Uri.#ctor(System.String,System.UriKind)",,,,,"System.Uri resourceLocater = new System.Uri(""/MortysDLP;component/views/convertwindow.xaml"", System.UriKind.Relative);"
